Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.5,0.999032,6,8,35,6,10,10
1,0.49978,0.998812,5,3,76,6,9,21
2,0.499791,0.998171,4,6,120,8,12,23
3,0.500182,0.997975,4,15,204,10,9,30
4,0.500027,0.998114,11,28,320,16,11,33
5,0.500051,0.998205,12,61,514,19,11,43
6,0.500015,0.997996,17,97,873,21,14,51
7,0.49979,0.997635,23,137,1445,15,20,60
8,0.499787,0.997312,46,217,2335,22,18,70
9,0.499675,0.997154,81,355,3831,29,23,85
10,0.499492,0.996847,104,513,6451,40,25,95
11,0.499485,0.99657,162,863,10726,52,22,118
12,0.499451,0.996245,285,1427,17806,61,21,153
13,0.499454,0.995999,480,2405,29502,74,26,187
14,0.499458,0.995761,814,3823,49221,90,39,210
