Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.5,0.999651,0.499452,0,6,6,18,4,2,11,3,6,15
1,0.500085,0.99979,0.499595,0,5,6,39,5,3,15,4,4,13
2,0.500129,0.999592,0.498978,0,3,8,66,5,9,21,4,5,10
3,0.5001,0.999376,0.498745,0,2,15,110,5,10,42,2,8,11
4,0.499923,0.999547,0.497934,0.000102199,3,13,212,9,14,62,3,5,15
5,0.499948,0.999349,0.498106,0.000138693,6,26,351,12,18,102,3,2,21
6,0.499434,0.999234,0.498155,0.000203768,9,58,559,16,19,160,5,6,18
7,0.499855,0.998938,0.497926,0.000525684,6,99,931,35,43,221,6,4,25
8,0.49966,0.998656,0.49763,0.000838637,31,132,1535,51,61,339,4,4,26
9,0.49957,0.998441,0.498227,0.00123178,62,196,2548,70,75,570,6,5,31
10,0.499606,0.998302,0.498317,0.00149561,93,331,4191,120,112,873,4,3,35
11,0.499419,0.998173,0.498257,0.00169388,126,565,6954,192,192,1305,7,1,44
12,0.499444,0.997999,0.498024,0.00189797,206,965,11402,298,290,2018,12,0,43
13,0.499463,0.997771,0.498467,0.00222011,342,1530,18864,454,451,3124,10,5,48
14,0.499379,0.997601,0.498524,0.00253919,524,2529,31215,680,707,4834,16,3,43
