Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.499715,0.999328,7,9,35,4,5,15
1,0.499486,0.999126,3,13,69,6,6,17
2,0.499876,0.999395,1,12,121,4,7,22
3,0.499695,0.998984,2,18,211,4,6,27
4,0.4993,0.998974,5,31,337,15,4,21
5,0.498957,0.999052,5,45,561,12,3,30
6,0.499031,0.998755,7,68,956,11,3,39
7,0.498973,0.998496,26,116,1539,11,6,42
8,0.498973,0.998299,51,203,2513,16,7,44
9,0.498859,0.998123,83,310,4182,17,7,48
10,0.498884,0.997944,125,539,6847,20,11,57
11,0.49881,0.997796,213,869,11334,22,17,65
12,0.49887,0.997619,333,1574,18656,33,15,83
13,0.498817,0.997437,530,2574,30951,34,29,96
14,0.498785,0.99725,859,4250,51274,37,30,122
