Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.5,1,10,7,30,3,8,18
1,0.500119,1,5,6,58,4,7,25
2,0.500149,0.999972,5,5,93,9,10,28
3,0.500187,0.999708,3,11,164,11,13,33
4,0.500437,0.999335,1,19,274,13,18,44
5,0.500359,0.999175,7,38,471,14,25,47
6,0.500405,0.999014,10,79,771,14,31,60
7,0.500244,0.99865,20,136,1249,25,27,74
8,0.500116,0.998514,30,199,2094,36,24,92
9,0.50016,0.998464,48,307,3421,40,33,111
10,0.500048,0.99824,92,475,5664,48,37,148
11,0.500172,0.99798,171,818,9368,64,36,192
12,0.500059,0.997718,263,1264,15615,70,51,227
13,0.500114,0.997529,454,2159,25793,95,63,274
14,0.500128,0.997343,723,3587,42612,131,79,313
