Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.501887,1,0.501918,0,4,3,29,3,2,10,10,8,10
1,0.501078,0.998665,0.502502,0,4,3,56,2,2,19,9,6,14
2,0.500704,0.998756,0.501918,0,1,9,87,3,7,20,7,7,24
3,0.500262,0.998397,0.502104,0,1,11,142,4,7,37,7,11,26
4,0.500176,0.998648,0.50328,0,2,15,251,8,9,61,11,14,28
5,0.500165,0.998383,0.502939,0.000380238,6,36,414,14,16,102,19,14,34
6,0.500181,0.998171,0.502902,0.00118275,11,58,647,25,33,141,21,13,43
7,0.500211,0.998248,0.503258,0.0012431,17,94,1074,32,41,244,33,14,48
8,0.500305,0.998125,0.503025,0.00133651,32,154,1766,47,60,370,41,15,61
9,0.500354,0.998012,0.502958,0.00202044,44,261,2943,93,96,537,36,27,83
10,0.500523,0.997731,0.502627,0.00233207,80,398,4886,140,128,836,46,25,112
11,0.500508,0.997557,0.502773,0.00259078,134,689,8088,191,211,1268,54,40,131
12,0.500543,0.997406,0.503052,0.00253723,211,1080,13469,285,313,2013,59,42,165
13,0.500545,0.997207,0.503198,0.00250405,346,1813,22255,459,482,3091,78,47,197
14,0.500596,0.997055,0.503331,0.00269528,624,2984,36694,712,731,4747,92,56,251
