Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.5,0.999829,10,7,31,3,5,15
1,0.5,0.999874,6,9,50,3,9,16
2,0.500211,0.999528,5,14,84,5,9,21
3,0.499785,0.999453,6,12,145,12,8,22
4,0.50016,0.999539,4,20,239,13,6,27
5,0.499923,0.999445,9,24,403,11,10,36
6,0.499564,0.999452,13,50,662,15,11,33
7,0.499696,0.999262,10,74,1108,16,11,37
8,0.499651,0.999153,22,146,1822,13,15,45
9,0.499554,0.999,52,256,2949,23,17,38
10,0.499547,0.998769,89,418,4843,24,12,51
11,0.499576,0.998501,138,653,8089,29,6,60
12,0.499583,0.998291,217,1044,13533,29,10,78
13,0.499594,0.998052,339,1761,22393,26,14,98
14,0.499644,0.997859,588,2895,36960,37,19,102
