Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.499913,0.999565,7,13,43,10,4,8
1,0.499437,0.999607,5,11,85,9,2,13
2,0.49935,0.999308,3,14,144,6,6,12
3,0.499863,0.999068,4,21,235,7,4,18
4,0.499594,0.99893,5,33,403,10,3,22
5,0.499956,0.998451,6,64,641,10,1,25
6,0.499739,0.998455,20,105,1055,15,1,23
7,0.499584,0.998082,43,159,1715,16,4,20
8,0.499668,0.997947,63,216,2865,16,5,24
9,0.49973,0.997719,87,372,4808,13,9,27
10,0.499763,0.997557,137,648,7836,13,7,34
11,0.499729,0.997387,205,1049,12940,16,4,44
12,0.49973,0.99721,352,1732,21365,16,5,52
13,0.499691,0.997055,577,2906,35375,15,4,60
14,0.499621,0.996868,923,4725,58488,17,7,65
