Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.5,1,0.5,0.00044586,5,6,14,6,2,20,5,6,16
1,0.5,1,0.500545,0.000304489,2,3,33,6,1,34,4,6,19
2,0.499574,1,0.500746,0.000735487,1,11,44,11,6,38,10,5,14
3,0.499657,1,0.500401,0.00111963,1,10,73,13,6,61,14,4,20
4,0.500185,0.999752,0.50018,0.00130858,2,11,131,13,5,116,7,3,38
5,0.499787,0.999524,0.50005,0.00158223,5,24,203,20,23,165,8,8,44
6,0.499378,0.99943,0.499851,0.00176672,5,32,334,40,41,236,15,8,45
7,0.498974,0.999394,0.499865,0.00212582,6,49,579,44,59,415,13,13,52
8,0.498783,0.999387,0.500057,0.00245704,16,72,1012,84,84,625,22,14,51
9,0.498952,0.999262,0.500171,0.00273343,23,137,1646,127,122,949,27,14,66
10,0.498964,0.999006,0.500121,0.00301425,43,232,2726,229,203,1361,31,18,73
11,0.498966,0.998822,0.500066,0.00321497,65,373,4532,354,294,2095,37,26,84
12,0.499024,0.998607,0.50004,0.0032821,118,633,7529,547,484,3150,32,31,112
13,0.499039,0.998405,0.500108,0.00338697,214,984,12501,798,754,4843,38,33,125
14,0.499153,0.998255,0.500132,0.003505,334,1569,20835,1190,1101,7445,49,45,136
