Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.501153,1,0.5,0.00166557,7,2,21,4,5,8,9,4,10
1,0.501687,1,0.499265,0.00195274,3,7,31,3,5,21,5,1,16
2,0.50262,0.999703,0.499504,0.00197544,1,9,56,6,7,30,8,3,18
3,0.502617,0.998658,0.499124,0.00193936,2,10,97,7,4,62,7,5,21
4,0.502089,0.998727,0.499369,0.00245625,7,6,163,14,12,85,11,6,17
5,0.502525,0.99809,0.499972,0.00302582,8,25,260,15,20,150,7,9,24
6,0.502778,0.997929,0.500364,0.00341938,9,32,445,32,31,230,5,10,28
7,0.503125,0.998025,0.500818,0.00393296,14,65,747,47,52,353,13,3,33
8,0.503398,0.997887,0.500662,0.00482512,21,111,1229,71,70,538,14,4,43
9,0.503307,0.99769,0.500519,0.00505021,37,170,2061,111,100,822,13,5,42
10,0.503476,0.997439,0.50038,0.00543043,57,313,3377,162,167,1254,19,5,44
11,0.503364,0.997199,0.500338,0.0061393,98,505,5536,245,267,1955,20,9,39
12,0.503243,0.997048,0.500419,0.00696938,157,801,9139,342,389,3174,20,11,42
13,0.503201,0.996881,0.500386,0.00740271,266,1235,15291,620,670,4793,25,14,43
14,0.503156,0.996689,0.500517,0.00769242,420,2045,25376,1025,1074,7289,29,13,51
