Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.5,0.997193,0.5,0,6,3,18,5,3,13,9,2,17
1,0.5,0.99798,0.499697,0,1,3,42,3,3,29,3,4,26
2,0.500036,0.996498,0.499965,0,0,4,67,3,7,47,3,7,28
3,0.500086,0.995954,0.499485,0.00055391,2,7,106,13,7,63,4,9,28
4,0.499992,0.995996,0.499331,0.00107505,1,10,181,19,19,90,5,8,34
5,0.500072,0.995957,0.49941,0.00140204,5,18,290,18,31,150,10,8,36
6,0.500184,0.995511,0.499783,0.00178362,7,42,473,26,34,246,13,10,37
7,0.500239,0.995241,0.500051,0.0020664,11,72,790,44,49,377,15,9,43
8,0.500594,0.995108,0.500444,0.00252878,15,106,1331,85,70,565,22,6,49
9,0.500802,0.995035,0.500653,0.00272697,24,176,2192,139,111,865,29,8,52
10,0.500822,0.995016,0.500781,0.00311313,53,256,3664,197,181,1375,33,16,52
11,0.500763,0.994884,0.500747,0.00347758,90,475,5935,320,290,2080,31,27,68
12,0.500852,0.994736,0.500702,0.00371223,164,789,9854,481,449,3147,37,23,72
13,0.500928,0.994647,0.500629,0.00391659,246,1343,16235,722,689,4866,32,31,81
14,0.500923,0.994442,0.500634,0.00409717,429,2336,26727,1151,1101,7325,37,40,99
