Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.499083,1,10,5,36,5,7,9
1,0.499401,1,10,10,58,3,5,18
2,0.49901,1,6,6,109,7,4,18
3,0.499408,0.999852,4,11,182,3,3,26
4,0.499601,0.999719,5,29,290,5,4,31
5,0.499265,0.999579,12,35,495,5,7,32
6,0.499047,0.999447,16,56,833,9,5,41
7,0.499438,0.999154,26,138,1362,13,8,43
8,0.499499,0.998945,37,223,2193,20,11,41
9,0.499559,0.998731,56,329,3711,16,9,47
10,0.499532,0.998499,101,537,6092,23,12,55
11,0.499458,0.998326,184,903,10031,32,14,63
12,0.499496,0.998096,307,1411,16636,37,18,69
13,0.499495,0.997898,474,2290,27571,34,19,85
14,0.499508,0.997714,818,3808,45803,25,24,107
